Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
Fall,2016,GIZELLE SHERWOOD,CMY,9214,PHYSICAL CHEMISTRY,A,Lect,5,7,71%,9.2,4.4,4,4,4.6,4.4,4.4,4.6,4.4,4.4
Spring,2015,MAUMITA MANDAL,CMY,9214,PHYSICAL CHEMISTRY,A,Lect,4,5,80%,9.5,2.75,2.25,2.25,2.25,2,2,2.75,2.25,2
Spring,2014,MAUMITA MANDAL,CMY,9214,PHYSICAL CHEMISTRY,A,Lect,7,8,88%,8.43,2.29,2.29,2.29,1.86,2.29,2.14,2.29,1.71,1.71
Spring,2013,MAUMITA MANDAL,CMY,9214,PHYSICAL CHEMISTRY,A,Lect,5,7,71%,8.6,2.8,3.4,3.4,2.4,3.6,2.4,2.5,3,2.8
Spring,2012,MAUMITA MANDAL,CMY,9214,PHYSICAL CHEMISTRY,A,Lect,10,13,77%,6.5,4,3.6,3.6,3.3,3.8,3.4,3.3,2.8,3.4
Spring,2011,MAUMITA MANDAL,CMY,9214,PHYSICAL CHEMISTRY,A,Lect,42,61,69%,8.14,2.55,1.93,1.95,2.02,2.24,1.71,2.19,1.69,1.69
Spring,2010,"KAROL, P. (co-taught)",CMY,9214,PHYSICAL CHEMISTRY,A,Lect,35,66,53%,7.31,3.77,3.8,3.66,3.2,3.63,3.57,4.26,3.51,3.06
Spring,2010,"MANDAL, M. (co-taught)",CMY,9214,PHYSICAL CHEMISTRY,A,Lect,35,66,53%,7.07,2.1,1.97,1.76,1.52,1.86,1.34,1.97,1.52,2.03
Summer,2016,GLORIA SILVA,CMY,9217,ORGANIC CHEMISTRY I,S,Lect,14,28,50%,13.71,4.93,4.93,4.79,4.57,4.64,4.71,4.79,4.93,4.86
Fall,2016,GLORIA SILVA,CMY,9217,ORGANIC CHEMISTRY I,1,Lect,78,153,51%,9.29,4.32,4.55,4.52,4.03,4.33,4.33,4.58,4.29,4.28
Summer,2015,GLORIA SILVA,CMY,9217,ORGANIC CHEMISTRY I,S,Lect,11,18,61%,16.18,4.73,4.82,4.82,4.82,4.73,4.73,4.82,4.73,4.73
Fall,2015,GLORIA SILVA,CMY,9217,ORGANIC CHEMISTRY I,1,Lect,83,137,61%,9.6,3.94,4.18,4,3.7,3.88,3.77,4.06,3.72,3.69
Fall,2014,GLORIA SILVA,CMY,9217,ORGANIC CHEMISTRY I,1,Lect,90,172,52%,9.29,4.28,4.24,4.31,4,4.21,4.18,4.37,4.1,4.16
Summer,2013,GLORIA SILVA,CMY,9217,ORGANIC CHEMISTRY I,S,Lect,5,15,33%,12.2,4.4,4.6,4.6,4.6,4.4,4.6,4.8,4.4,4.2
Fall,2013,GLORIA SILVA,CMY,9217,ORGANIC CHEMISTRY I,1,Lect,88,164,54%,9.8,3.93,3.97,3.85,3.58,3.85,3.75,4.02,3.69,3.7
Summer,2012,SUSAN GRAUL,CMY,9217,ORGANIC CHEMISTRY I,S,Lect,3,10,30%,10,5,4.67,4.67,5,5,5,5,5,4.67
Fall,2012,GLORIA SILVA,CMY,9217,ORGANIC CHEMISTRY I,1,Lect,95,169,56%,8.06,3.91,4.02,3.91,3.57,3.76,3.66,4.23,3.63,3.64
Fall,2011,GLORIA SILVA,CMY,9217,ORGANIC CHEMISTRY I,1,Lect,95,189,50%,7.62,3.79,4.04,4.01,3.77,3.66,3.72,4.33,3.62,3.69
Fall,2010,GLORIA SILVA,CMY,9217,ORGANIC CHEMISTRY I,1,Lect,91,192,47%,8.07,3.52,3.69,3.58,3.22,3.7,3.5,4,3.34,3.37
Summer,2016,RONG CAO,CMY,9218,ORGANIC CHEMISTRY II,U,Lect,9,10,90%,11.78,4,3.56,3.67,3.33,3.89,3.89,4.44,3.89,4.11
Spring,2016,SUBHA DAS,CMY,9218,ORGANIC CHEMISTRY II,1,Lect,27,65,42%,8.26,4.41,4.59,4.44,4.44,4.3,4.48,4.74,4.37,4.22
Summer,2015,JING KONG,CMY,9218,ORGANIC CHEMISTRY II,U,Lect,2,8,25%,9.5,5,5,5,4,5,5,4.5,5,4
Spring,2015,DANITH LY,CMY,9218,ORGANIC CHEMISTRY II,1,Lect,28,64,44%,8.68,4.82,4.39,4.43,4.11,4.75,4.18,4.71,4.36,4.29
Spring,2014,DANITH LY,CMY,9218,ORGANIC CHEMISTRY II,1,Lect,34,69,49%,9.42,4.29,3.03,3.41,2.82,3.79,3.18,3.94,3.27,3.12
Summer,2013,GLORIA SILVA,CMY,9218,ORGANIC CHEMISTRY II,U,Lect,3,6,50%,14,4.67,3.67,3.67,3.67,4,4.33,4,4.33,4.33
Spring,2013,DANITH LY,CMY,9218,ORGANIC CHEMISTRY II,1,Lect,28,67,42%,7.61,4.5,3.57,3.46,3.5,4.32,3.46,4.57,3.46,3.29
Summer,2012,GLORIA SILVA,CMY,9218,ORGANIC CHEMISTRY II,U,Lect,3,8,38%,11,4.67,5,4.33,3.67,5,4.33,5,4.33,4.67
Spring,2012,SUBHA DAS,CMY,9218,ORGANIC CHEMISTRY II,1,Lect,42,89,47%,7.21,4.79,4.76,4.74,4.55,4.67,4.76,4.83,4.79,4.69
Spring,2011,SUBHA DAS,CMY,9218,ORGANIC CHEMISTRY II,1,Lect,50,93,54%,6.38,4.7,4.82,4.82,4.5,4.7,4.82,4.92,4.76,4.66
Spring,2010,SUBHA DAS,CMY,9218,ORGANIC CHEMISTRY II,1,Lect,57,103,55%,5.89,4.25,4.46,4.38,3.96,4.29,4.47,4.68,4.34,4.26
Fall,2016,STEFANIE SYDLIK,CMY,9219,MODERN ORGANIC CHEM,1,Lect,10,20,50%,11,5,4.9,4.8,4.9,4.7,4.7,5,4.5,4.7
Fall,2015,"NOONAN, K. (co-taught)",CMY,9219,MODERN ORGANIC CHEM,1,Lect,22,32,69%,9.57,4.82,4.73,4.55,4.73,4.82,4.82,4.77,4.86,4.73
Fall,2015,"SYDLIK, S. (co-taught)",CMY,9219,MODERN ORGANIC CHEM,1,Lect,22,32,69%,9.71,4.86,4.5,4.27,4.68,4.82,4.45,4.86,4.36,4.59
Fall,2014,KEVIN NOONAN,CMY,9219,MODERN ORGANIC CHEM,1,Lect,23,43,53%,10.35,4.87,4.52,4.26,4.35,4.7,4.74,4.91,4.7,4.52
Fall,2013,KEVIN NOONAN,CMY,9219,MODERN ORGANIC CHEM,1,Lect,27,44,61%,10.89,4.78,4.78,4.81,4.56,4.81,4.85,5,4.81,4.74
Fall,2012,"WASHBURN, N. (co-taught)",CMY,9219,MODERN ORGANIC CHEM,1,Lect,21,43,49%,9,4.52,4.52,4.48,4.24,4.52,4.52,4.86,4.48,4.4
Fall,2012,"NOONAN, K. (co-taught)",CMY,9219,MODERN ORGANIC CHEM,1,Lect,21,43,49%,9.05,4.57,4.48,4.38,4.24,4.43,4.38,4.76,4.33,4.38
Fall,2011,NEWELL WASHBURN,CMY,9219,MODERN ORGANIC CHEM,1,Lect,35,56,63%,8.97,4.86,4.74,4.74,4.49,4.77,4.89,4.97,4.86,4.8
Fall,2010,NEWELL WASHBURN,CMY,9219,MODERN ORGANIC CHEM,1,Lect,20,43,47%,8.6,4.75,4.6,4.7,4.8,4.65,4.8,4.95,4.7,4.75
Spring,2016,BRUCE ARMITAGE,CMY,9220,MODRN ORGANIC CMY II,1,Lect,25,34,74%,10.84,4.92,4.88,4.88,4.88,4.88,4.88,4.88,4.92,4.88
Spring,2015,BRUCE ARMITAGE,CMY,9220,MODRN ORGANIC CMY II,1,Lect,26,42,62%,8.46,4.77,4.65,4.77,4.62,4.73,4.88,4.85,4.85,4.81
Spring,2014,BRUCE ARMITAGE,CMY,9220,MODRN ORGANIC CMY II,1,Lect,33,53,62%,9.27,4.94,4.85,4.81,4.76,4.91,4.94,4.94,4.91,4.82
Spring,2013,BRUCE ARMITAGE,CMY,9220,MODRN ORGANIC CMY II,1,Lect,21,43,49%,10,4.81,4.9,4.9,4.52,4.86,4.95,4.9,5,4.86
Spring,2012,BRUCE ARMITAGE,CMY,9220,MODERN ORGANIC II,1,Lect,32,54,59%,7.44,5,5,4.97,4.88,5,5,4.97,5,5
Spring,2011,BRUCE ARMITAGE,CMY,9220,MODERN ORGANIC II,1,Lect,23,47,49%,7.32,4.78,4.87,4.78,4.39,4.83,4.91,4.91,4.96,4.7
Spring,2010,BRUCE ARMITAGE,CMY,9220,MODERN ORGANIC II,1,Lect,31,50,62%,7.81,4.9,4.9,4.94,4.84,4.97,4.97,4.94,5,4.97
Spring,2016,GIZELLE SHERWOOD,CMY,9221,LAB I: INTR CHMY ANL,1,Lect,39,90,43%,17.13,4.36,4.33,4.46,3.87,4.23,4.28,3.72,4.23,4.1
Fall,2016,KAREN STUMP,CMY,9221,LAB I: INTR CHMY ANL,1,Lect,9,24,38%,12,4.22,4.13,4.56,4.22,4.44,4.78,4.11,4.44,4.22
Spring,2015,GIZELLE SHERWOOD,CMY,9221,LAB I: INTR CHMY ANL,1,Lect,43,81,53%,19.6,4.42,4.23,4.3,3.88,4.19,4.12,3.58,4.12,3.67
Fall,2015,KAREN STUMP,CMY,9221,LAB I: INTR CHMY ANL,1,Lect,53,84,63%,15.58,4.64,4.64,4.58,4.3,4.42,4.49,4.66,4.38,4.25
Fall,2015,TERRANCE MURPHY,CMY,9221,LAB I: INTR CHMY ANL,W,Lect,4,11,36%,15.75,4,4.75,5,4.5,4.75,5,4.75,4.25,4.25
Spring,2014,GIZELLE SHERWOOD,CMY,9221,LAB I: INTR CHMY ANL,1,Lect,35,79,44%,17.11,4.09,3.91,4.15,3.77,4.11,3.94,3.31,3.77,3.66
Fall,2014,KAREN STUMP,CMY,9221,LAB I: INTR CHMY ANL,1,Lect,56,97,58%,14.73,4.46,4.38,4.45,4.04,4.27,4.5,4.59,4.43,4.27
Fall,2014,TERRANCE MURPHY,CMY,9221,LAB I: INTR CHMY ANL,W,Lect,10,15,67%,18.11,4,4.2,4.1,3.6,4,4.2,4.1,4.3,4.3
Spring,2013,GIZELLE SHERWOOD,CMY,9221,LAB I: INTR CHMY ANL,1,Lect,48,85,56%,18,4.35,4.15,4.17,3.81,4.13,4.08,3.73,3.96,3.96
Fall,2013,KAREN STUMP,CMY,9221,LAB I: INTR CHMY ANL,1,Lect,60,111,54%,15.36,4.62,4.4,4.5,4.1,4.32,4.42,4.72,4.33,4.23
Fall,2013,TERRANCE MURPHY,CMY,9221,LABI:INTRCHMYANL,W,Lect,13,15,87%,17.62,4.08,4.23,4.15,3.77,4.15,3.92,4.38,4.23,3.62
Spring,2012,GIZELLE SHERWOOD,CMY,9221,LAB I: INTR CHMY ANL,1,Lect,50,95,53%,13.14,4.4,4.24,4.32,3.8,4.16,4.3,4.2,4.24,4.12
Fall,2012,KAREN STUMP,CMY,9221,LAB I: INTR CHMY ANL,1,Lect,36,87,41%,13.31,4.34,4.23,4.26,3.66,4.29,4.2,4.6,4.2,3.89
Fall,2012,TERRANCE MURPHY,CMY,9221,LAB I: INTR CHMY ANL,W,Lect,7,8,88%,12.29,4,4.14,3.86,3.86,4.29,4,4.43,4,3.29
Spring,2011,GIZELLE SHERWOOD,CMY,9221,LAB I: INTR CHMY ANL,1,Lect,47,93,51%,12.87,4.36,4.19,4.26,3.81,4.17,4.19,4.15,4.11,3.83
Fall,2011,KAREN STUMP,CMY,9221,LAB I: INTR CHMY ANL,1,Lect,56,109,51%,13.2,4.39,4.29,4.29,4.04,4.16,4.09,4.73,4.2,3.89
Spring,2010,GIZELLE SHERWOOD,CMY,9221,LAB I: INTR CHMY ANL,1,Lect,47,98,48%,12.6,4.28,4.2,4.24,4.07,4.11,4.3,4.04,4.13,4.04
Fall,2010,KAREN STUMP,CMY,9221,LAB I: INTR CHMY ANL,1,Lect,43,107,40%,12.81,4.37,4.33,4.37,4.23,4.33,4.3,4.56,4.4,4.09
Spring,2016,SUSAN GRAUL,CMY,9222,LAB II:ORGNC SYN ANL,1,Lect,40,79,51%,12.83,4.35,4.45,4.38,4.17,4.4,4.63,4.72,4.45,4.32
Spring,2015,SUSAN GRAUL,CMY,9222,LAB II:ORGNC SYN ANL,1,Lect,50,88,57%,12.86,4.26,4.12,4.24,3.72,4.1,4.34,4.44,4.24,4.04
Fall,2015,GLORIA SILVA,CMY,9222,LAB II:ORGNC SYN ANL,1,Lect,9,15,60%,14.11,4.56,4.33,4.56,4.22,4.44,4.67,4.67,4.38,4.44
Spring,2014,SUSAN GRAUL,CMY,9222,LAB II:ORGNC SYN ANL,1,Lect,45,92,49%,13.93,4.22,4.13,4.38,3.82,4.14,4.38,4.56,4.24,4.04
Fall,2014,GLORIA SILVA,CMY,9222,LAB II:ORGNC SYN ANL,1,Lect,9,18,50%,14.11,4.56,4,4.25,3.67,4.22,4.22,4.33,4.33,4.11
Spring,2013,SUSAN GRAUL,CMY,9222,LAB II:ORGNC SYN ANL,1,Lect,39,91,43%,15.85,4.31,4.15,4.45,3.74,4.39,4.53,4.76,4.29,4
Fall,2013,GLORIA SILVA,CMY,9222,LAB II:ORGNC SYN ANL,1,Lect,10,11,91%,10.7,4.5,4.3,4.6,4.2,4.4,4.5,4.7,4.5,4.4
Spring,2012,SUSAN GRAUL,CMY,9222,LAB II:ORGNC SYN ANL,1,Lect,45,103,44%,12.36,4.6,4.53,4.51,4.2,4.56,4.78,4.82,4.6,4.49
Fall,2012,GLORIA SILVA,CMY,9222,LAB II:ORGNC SYN ANL,1,Lect,9,13,69%,12.5,4.33,4.44,4.44,4.11,4.33,4.44,4.44,4.33,4.22
Spring,2011,SUSAN GRAUL,CMY,9222,LAB II:ORGNC SYN ANL,1,Lect,51,109,47%,12.24,4.06,4.08,4.18,3.36,4,4.33,4.42,4.06,3.86
Fall,2011,GLORIA SILVA,CMY,9222,LAB II:ORGNC SYN ANL,1,Lect,10,13,77%,12.2,4.7,4.6,4.8,4.6,4.8,4.8,4.8,4.5,4.6
Spring,2010,SUSAN GRAUL,CMY,9222,LAB II:ORGNC SYN ANL,1,Lect,64,112,57%,11.67,4.03,4.22,4.3,3.86,4.08,4.41,4.34,4.19,4.08
Fall,2010,GLORIA SILVA,CMY,9222,LAB II:ORGNC SYN ANL,1,Lect,8,17,47%,11.38,4.13,3.88,4.13,3.75,4,4,4,3.75,3.63
Spring,2016,BRUCE ARMITAGE,CMY,9224,SUPRAMOLECULAR CHMTR,A4,Lect,8,16,50%,3.13,4.88,4.13,4.5,4.75,5,4.88,5,5,4.75
Fall,2016,"KURNIKOVA, M. (co-taught)",CMY,9231,MATHMTCL METHD CHEM,1,Lect,11,23,48%,7.4,4,3.18,3.18,3,3.09,2.82,4.18,2.64,3.64
Fall,2016,"YARON, D. (co-taught)",CMY,9231,MATHMTCL METHD CHEM,1,Lect,11,23,48%,7.45,4.64,4.55,4.64,4.45,4.36,4.36,4.82,4.55,4.27
Fall,2015,NICOLAE ALBU,CMY,9231,MATHMTCL METHD CHEM,1,Lect,19,24,79%,5.79,3.95,3.11,3.11,3.16,3.58,3.68,4.21,3.37,3.11
Fall,2014,MICHAEL HENDRICH,CMY,9231,MATHMTCL METHD CHEM,1,Lect,19,31,61%,9,3.84,3.84,3.74,2.84,3.84,3.89,4.11,3.47,3.37
Fall,2013,MICHAEL HENDRICH,CMY,9231,MATHMTCL METHD CHEM,A,Lect,8,20,40%,8.75,4.25,4.13,4.13,3.5,4.13,4.13,4.25,3.88,3.88
Fall,2012,MICHAEL HENDRICH,CMY,9231,MATHMTCL METHD CHEM,A,Lect,8,14,57%,9.13,3.5,3.25,3.13,2.63,3.75,3.13,3.63,2.88,2.75
Fall,2011,DAVID YARON,CMY,9231,MATHMTCL METHD CHEM,A,Lect,19,34,56%,6.42,4.26,4,3.79,3.84,3.68,3.74,4.84,3.84,3.79
Fall,2010,DAVID YARON,CMY,9231,MATHMTCL METHD CHEM,A,Lect,9,18,50%,7,4.56,3.89,4.44,4.25,4.22,4.11,4.89,4,3.89
Spring,2014,KAREN STUMP,CMY,9302,UNDERGRAD SEMINAR IV,B,Lect,4,13,31%,2,5,5,5,5,5,5,5,5,5
Fall,2016,SUSAN GRAUL,CMY,9321,LAB III: MOL DSN SYN,1,Lect,9,18,50%,12.67,4.56,4.89,4.78,4.33,4.44,4.78,4.78,4.56,4.67
Fall,2015,SUSAN GRAUL,CMY,9321,LAB III: MOL DSN SYN,1,Lect,26,34,76%,12.42,4.31,4.35,4.46,4.15,4.27,4.58,4.42,4.38,4.42
Fall,2014,SUSAN GRAUL,CMY,9321,LAB III: MOL DSN SYN,1,Lect,9,14,64%,13.33,4.56,4.78,4.67,4,4.22,4.56,4.89,4.56,4.44
Fall,2013,SUSAN GRAUL,CMY,9321,LAB III: MOL DSN SYN,A,Lect,15,36,42%,14.27,4.47,4.27,4.07,3.93,4.33,4.67,4.67,4.4,4.33
Fall,2012,SUSAN GRAUL,CMY,9321,LAB III: MOL DSN SYN,1,Lect,32,34,94%,12.26,4.78,4.61,4.53,4.22,4.59,4.69,4.94,4.69,4.38
Fall,2011,SUSAN GRAUL,CMY,9321,LAB III: MOL DSN SYN,1,Lect,21,26,81%,12.86,4.76,4.81,4.71,4.48,4.81,4.81,5,4.76,4.76
Fall,2010,SUSAN GRAUL,CMY,9321,LAB III: MOL DSN SYN,1,Lect,21,39,54%,13.1,4.52,4.57,4.52,4.29,4.62,4.76,4.81,4.52,4.43
Spring,2016,"JIN, R. (co-taught)",CMY,9322,LAB IV:MOLE SPC DSGN,1,Lect,18,32,56%,8.5,3.83,3.61,3.67,3.56,3.89,3.89,4.56,3.56,3.61
Spring,2016,"KOWALEWSKI, T. (co-taught)",CMY,9322,LAB IV:MOLE SPC DSGN,1,Lect,18,32,56%,9.33,4.33,4.06,4.33,3.94,4.5,4.56,4.72,4.22,4.22
Spring,2015,"JIN, R. (co-taught)",CMY,9322,LAB IV:MOLE SPC DSGN,1,Lect,15,28,54%,9.8,3.8,3.87,3.87,3.6,3.93,4.07,4.2,3.71,3.4
Spring,2015,"KOWALEWSKI, T. (co-taught)",CMY,9322,LAB IV:MOLE SPC DSGN,1,Lect,15,28,54%,9.93,3.33,3.67,3.73,3.13,3.53,3.71,4.13,3.4,3.36
Spring,2014,"JIN, R. (co-taught)",CMY,9322,LAB IV:MOLE SPC DSGN,1,Lect,8,25,32%,8.38,4,4.25,4.25,4.25,4.25,4.13,4.63,4.13,4.13
Spring,2014,"KOWALEWSKI, T. (co-taught)",CMY,9322,LAB IV:MOLE SPC DSGN,1,Lect,8,25,32%,9.5,4.5,4.5,4.38,3.75,4.38,4.13,4.13,4.13,4.13
Spring,2013,"JIN, R. (co-taught)",CMY,9322,LAB IV:MOLE SPC DSGN,1,Lect,13,34,38%,8.92,4.38,4.54,4.46,4.31,4.62,4.31,4.85,4.46,4.15
Spring,2013,"KOWALEWSKI, T. (co-taught)",CMY,9322,LAB IV:MOLE SPC DSGN,1,Lect,13,34,38%,11.08,4.23,4.31,4.23,3.62,4.23,4.08,4.69,4.15,4.15
Spring,2012,"JIN, R. (co-taught)",CMY,9322,LAB IV:MOLE SPC DSGN,1,Lect,13,26,50%,9.15,4.31,4.46,4.38,4.15,4.38,4.31,4.85,4,3.92
Spring,2012,"KOWALEWSKI, T. (co-taught)",CMY,9322,LAB IV:MOLE SPC DSGN,1,Lect,13,26,50%,10.25,4.69,4.62,4.5,4,4.42,4.25,4.83,4.25,4.08
Spring,2011,"JIN, R. (co-taught)",CMY,9322,LAB IV:MOLE SPC DSGN,1,Lect,16,30,53%,9.31,3.5,3.56,3.5,3.56,3.88,4,4.38,3.5,3.56
Spring,2011,"KOWALEWSKI, T. (co-taught)",CMY,9322,LAB IV:MOLE SPC DSGN,1,Lect,16,30,53%,10.06,3.56,3.75,3.94,3.13,3.63,3.88,4.19,3.44,3.56
Spring,2010,"JIN, R. (co-taught)",CMY,9322,LAB IV:MOLE SPC DSGN,1,Lect,21,37,57%,8.29,3.81,3.81,3.86,3.67,4,4.19,4.48,3.86,3.9
Spring,2010,"KOWALEWSKI, T. (co-taught)",CMY,9322,LAB IV:MOLE SPC DSGN,1,Lect,21,37,57%,9.14,3.62,3.71,3.76,3.29,3.9,3.71,4.29,3.43,3.67
Fall,2016,MARCEL BRUCHEZ,CMY,9323,BIOORG CHEMSTRY LAB,1,Lect,7,13,54%,14,4.29,4,4,4,4.57,4.29,4.71,4.14,3.86
Fall,2015,MARCEL BRUCHEZ,CMY,9323,BIOORG CHEMSTRY LAB,1,Lect,7,9,78%,10.57,4.57,4.57,4.71,4.86,4.86,5,5,5,5
Fall,2014,MARCEL BRUCHEZ,CMY,9323,BIOORG CHEMSTRY LAB,1,Lect,8,11,73%,12.5,5,4.88,4.75,5,5,4.75,5,4.88,4.88
Spring,2016,CHRISTOPHER SULLIVAN,CMY,9331,MODRN ANALYTCL INSTR,1,Lect,21,29,72%,7,4,3.76,3.43,3.1,3.57,3.19,3.9,3.1,2.76
Fall,2014,LINDA PETEANU,CMY,9331,MODRN ANALYTCL INSTR,1,Lect,21,35,60%,7.14,3.67,3.67,3.38,3.29,3.62,2.71,4.67,2.95,2.95
Fall,2013,LINDA PETEANU,CMY,9331,MODRN ANALYTCL INSTR,1,Lect,13,27,48%,8.92,4,3.77,3.46,3,3.54,3.08,4.62,3.31,3.23
Fall,2012,LINDA PETEANU,CMY,9331,MODRN ANALYTCL INSTR,1,Lect,25,35,71%,6.92,3.28,3.44,3.25,2.84,3.32,2.92,3.76,2.72,2.72
Fall,2011,LINDA PETEANU,CMY,9331,MODRN ANALYTCL INSTR,1,Lect,22,31,71%,8,4,4.09,4.05,3.55,3.95,3.59,4.45,3.5,3.45
Fall,2010,LINDA PETEANU,CMY,9331,MODRN ANALYTCL INSTR,1,Lect,19,29,66%,7.37,4.26,4.32,4.21,4.11,4.21,4.05,4.74,4.05,3.95
Fall,2010,"ACHIM, C. (co-taught)",CMY,9341,ART SCIENCE OF COLOR,A,Lect,5,8,63%,8.6,4.6,3.6,3.8,3.6,4.2,4.6,5,4.2,4
Fall,2010,"MERRELL, C. (co-taught)",CMY,9341,ART SCIENCE OF COLOR,A,Lect,5,8,63%,8.6,4.4,4,4,4.4,3.8,4.4,5,4.2,4
Fall,2016,MICHAEL HENDRICH,CMY,9344,PHYSICAL CHEM QUANTM,1,Lect,10,22,45%,9.8,4.6,4,3.9,3,4.2,4.2,4.4,4,3.7
Fall,2015,MICHAEL HENDRICH,CMY,9344,PHYSICAL CHEM QUANTM,1,Lect,17,23,74%,10.35,4.18,3.88,4.06,3.53,4.18,4.29,4.59,4.29,4
Fall,2014,NEIL DONAHUE,CMY,9344,PHYSICAL CHEM QUANTM,1,Lect,21,33,64%,9.71,2.57,3,2.67,2.48,2.9,2.24,3.5,1.95,2.33
Fall,2013,NEIL DONAHUE,CMY,9344,PHYSICAL CHEM QUANTM,1,Lect,15,26,58%,10.4,3.87,3.53,3.27,3.13,3.53,3.13,3.93,3.2,3.13
Fall,2012,NEIL DONAHUE,CMY,9344,PHYSICAL CHEM QUANTM,1,Lect,28,39,72%,7.78,4.61,4.68,4.39,4.18,4.46,4.29,4.82,4.39,4.36
Fall,2011,NEIL DONAHUE,CMY,9344,PHYSICAL CHEM QUANTM,1,Lect,22,32,69%,8.14,4.36,3.64,3.55,3.14,3.77,3.45,4.73,3.36,3.41
Fall,2010,NEIL DONAHUE,CMY,9344,PHYSICAL CHEM QUANTM,1,Lect,21,35,60%,8.3,4.43,4.19,4.14,3.9,4.24,4.14,4.71,4.19,4.14
Spring,2016,YISONG GUO,CMY,9345,PHYSCL CHEM THERMO,1,Lect,18,30,60%,9.17,3.67,4.11,3.83,3.56,3.83,3.94,4.39,3.67,3.61
Spring,2015,YISONG GUO,CMY,9345,PHYSCL CHEM THERMO,1,Lect,12,28,43%,8,4,4.08,4.09,3.33,3.5,3.58,4.42,3.67,3.5
Spring,2014,GARY PATTERSON,CMY,9345,PHYSCL CHEM THERMO,1,Lect,7,24,29%,7.57,4.86,4.86,4.57,4.57,4.71,4.29,4.86,4.57,4.29
Spring,2013,MARIA KURNIKOVA,CMY,9345,PHYSCL CHEM THERMO,1,Lect,17,36,47%,7.47,3.88,3.59,3.65,3.47,3.59,3.59,4.35,3.29,3.06
Spring,2012,MARIA KURNIKOVA,CMY,9345,PHYSCL CHEM THERMO,1,Lect,10,24,42%,8.6,3.8,3,3.8,3.3,3.6,3.7,4.2,3.4,3.3
Spring,2011,MICHAEL HENDRICH,CMY,9345,PHYSCL CHEM THERMO,1,Lect,18,30,60%,8.17,4,4.11,4.06,3.61,4.67,4.17,4.56,3.94,4.06
Spring,2010,MARIA KURNIKOVA,CMY,9345,PHYSCL CHEM THERMO,1,Lect,19,29,66%,6.42,4,3.95,4,3.74,4.05,3.95,4.47,3.84,3.74
Fall,2016,HYUNG KIM,CMY,9347,ADV PHYS CHEMISTRY,A,Lect,25,75,33%,10.4,3.68,3.4,3.16,3.08,3.6,3.16,4.08,3.28,3.04
Fall,2015,MARIA KURNIKOVA,CMY,9347,ADV PHYS CHEMISTRY,1,Lect,31,62,50%,9.9,2.94,2.58,2.58,2.13,2.67,2.29,3.13,2.19,1.9
Fall,2014,MARIA KURNIKOVA,CMY,9347,ADV PHYS CHEMISTRY,1,Lect,23,57,40%,10.39,3.91,3.17,3.3,3.3,3.22,3.22,4.43,3.09,2.91
Fall,2013,MARIA KURNIKOVA,CMY,9347,ADV PHYS CHEMISTRY,A,Lect,41,70,59%,7.76,3.44,2.61,2.9,2.88,3.02,2.66,3.72,2.68,2.78
Fall,2012,GARY PATTERSON,CMY,9347,ADV PHYS CHEMISTRY,A,Lect,40,70,57%,5.15,4.49,4.56,4.54,4.33,4.38,4.41,4.59,4.26,4.28
Fall,2011,GARY PATTERSON,CMY,9347,ADV PHYS CHEMISTRY,A,Lect,42,62,68%,5.37,4.28,4.15,4.17,3.68,4.17,3.98,4.05,4,3.83
Fall,2010,GARY PATTERSON,CMY,9347,ADV PHYS CHEMISTRY,A,Lect,22,66,33%,5.14,4.5,4.59,4.23,4.05,4.05,4.09,4.32,4,3.95
Spring,2016,STEFAN BERNHARD,CMY,9348,INORGANIC CHEMISTRY,1,Lect,27,42,64%,8.78,3.26,3.26,3.07,2.93,3.52,2.67,3.7,2.74,2.81
Spring,2015,"ACHIM, C. (co-taught)",CMY,9348,INORGANIC CHEMISTRY,1,Lect,22,40,55%,8.82,4.64,4.32,4.36,4.05,4.09,4.23,4.55,4.32,3.59
Spring,2015,"BERNHARD, S. (co-taught)",CMY,9348,INORGANIC CHEMISTRY,1,Lect,22,40,55%,8.57,3.82,3.45,3.19,3.36,3.77,3.23,4.43,3.18,3.18
Spring,2014,STEFAN BERNHARD,CMY,9348,INORGANIC CHEMISTRY,1,Lect,22,34,65%,8,3.32,2.82,2.82,2.77,3.18,2.86,3.73,2.86,2.82
Spring,2013,STEFAN BERNHARD,CMY,9348,INORGANIC CHEMISTRY,1,Lect,18,39,46%,7.33,3.72,3.83,3.72,3.33,3.78,3.67,4.22,3.33,3.5
Spring,2012,CATALINA ACHIM,CMY,9348,INORGANIC CHEMISTRY,1,Lect,27,43,63%,7.44,4.41,4.19,3.96,3.78,4.11,3.74,4.41,3.81,3.81
Spring,2011,STEFAN BERNHARD,CMY,9348,INORGANIC CHEMISTRY,1,Lect,34,51,67%,6.85,3.21,2.85,2.85,2.47,3.38,2.74,3.91,2.53,2.59
Spring,2010,CATALINA ACHIM,CMY,9348,INORGANIC CHEMISTRY,1,Lect,34,54,63%,9.15,4.53,4.09,4.03,3.94,3.88,3.94,4.47,3.88,3.74
